record_id,source_type,is_synthetic,citation,doi,feedstock_name,feedstock_category,carbon_pct,hydrogen_pct,oxygen_pct,nitrogen_pct,sulfur_pct,ash_pct,moisture_ar_pct,volatile_matter_pct,fixed_carbon_pct,particle_size_mm,bulk_density_kg_m3,feedstock_hhv_dry_mj_kg,feed_rate_wet_kg_h,reactor_temp_c,heating_rate_c_min,residence_time_min,biochar_yield_dry_pct,bio_oil_yield_dry_pct,syngas_yield_dry_pct,syngas_co_vol_pct,syngas_co2_vol_pct,syngas_ch4_vol_pct,syngas_h2_vol_pct,bio_oil_water_pct,bio_oil_hhv_mj_kg,bio_oil_predicted_ph
LIT_001,EXPERIMENTAL_LITERATURE,False,"Neves et al. (2011) Prog Energy Combust Sci 37(5)",10.1016/j.pecs.2011.01.001,Pine Wood Sawdust,woody_biomass,51.2,6.2,42.0,0.2,0.05,0.35,10.5,82.5,17.15,1.5,420,19.8,5.0,400.0,20.0,30.0,38.5,43.2,18.3,32.0,52.0,8.5,1.5,22.0,16.5,2.6
LIT_002,EXPERIMENTAL_LITERATURE,False,"Neves et al. (2011) Prog Energy Combust Sci 37(5)",10.1016/j.pecs.2011.01.001,Pine Wood Sawdust,woody_biomass,51.2,6.2,42.0,0.2,0.05,0.35,10.5,82.5,17.15,1.5,420,19.8,5.0,500.0,20.0,20.0,26.8,52.4,20.8,42.5,36.0,11.2,4.8,24.5,15.2,2.4
LIT_003,EXPERIMENTAL_LITERATURE,False,"Neves et al. (2011) Prog Energy Combust Sci 37(5)",10.1016/j.pecs.2011.01.001,Pine Wood Sawdust,woody_biomass,51.2,6.2,42.0,0.2,0.05,0.35,10.5,82.5,17.15,1.5,420,19.8,5.0,600.0,20.0,15.0,21.5,48.1,30.4,48.0,26.5,14.5,9.2,27.0,14.2,2.3
LIT_004,EXPERIMENTAL_LITERATURE,False,"Bridgwater (2012) Biomass Bioenergy 38:68",10.1016/j.biombioe.2011.01.048,Beech Wood,woody_biomass,49.5,6.1,43.8,0.2,0.02,0.38,8.0,84.0,15.62,1.0,460,19.4,10.0,520.0,600.0,0.05,16.5,68.2,15.3,44.0,38.0,10.5,3.5,23.0,16.8,2.5
LIT_005,EXPERIMENTAL_LITERATURE,False,"Akhtar & Amin (2012) Renew Sustain Energy Rev 16(7)",10.1016/j.rser.2012.05.033,Olive Pomace,agricultural_residue,50.2,6.2,39.8,1.4,0.1,2.3,14.0,76.5,21.2,2.0,550,20.6,8.0,450.0,15.0,25.0,33.4,46.8,19.8,36.5,45.0,10.0,2.8,26.0,14.8,2.3
LIT_006,EXPERIMENTAL_LITERATURE,False,"Akhtar & Amin (2012) Renew Sustain Energy Rev 16(7)",10.1016/j.rser.2012.05.033,Olive Pomace,agricultural_residue,50.2,6.2,39.8,1.4,0.1,2.3,14.0,76.5,21.2,2.0,550,20.6,8.0,550.0,15.0,20.0,24.2,49.5,26.3,46.0,31.0,13.2,6.5,25.0,14.4,2.2
LIT_007,EXPERIMENTAL_LITERATURE,False,"Di Blasi (2008) Prog Energy Combust Sci 34(1)",10.1016/j.pecs.2006.12.001,Wheat Straw,agricultural_residue,46.5,5.9,41.2,0.7,0.1,5.6,12.0,75.0,19.4,3.0,220,18.2,6.0,400.0,10.0,40.0,42.0,38.5,19.5,30.0,54.0,9.0,1.2,28.0,12.8,2.7
LIT_008,EXPERIMENTAL_LITERATURE,False,"Di Blasi (2008) Prog Energy Combust Sci 34(1)",10.1016/j.pecs.2006.12.001,Wheat Straw,agricultural_residue,46.5,5.9,41.2,0.7,0.1,5.6,12.0,75.0,19.4,3.0,220,18.2,6.0,500.0,10.0,25.0,30.5,45.0,24.5,41.0,37.0,12.0,4.2,26.5,13.4,2.5
LIT_009,EXPERIMENTAL_LITERATURE,False,"ECN Phyllis2 Database (2020) TNO Energy",10.1016/j.biombioe.2011.01.048,Rice Husk,agricultural_residue,39.5,5.1,36.5,0.4,0.1,18.4,9.5,63.5,18.1,2.5,340,15.2,5.0,480.0,15.0,30.0,41.2,36.4,22.4,38.0,42.0,11.0,3.5,30.0,11.5,2.9
LIT_010,EXPERIMENTAL_LITERATURE,False,"ECN Phyllis2 Database (2020) TNO Energy",10.1016/j.biombioe.2011.01.048,Sugarcane Bagasse,agricultural_residue,48.0,5.8,43.5,0.3,0.05,2.35,15.0,81.0,16.65,2.0,180,18.9,8.0,500.0,50.0,10.0,25.4,53.2,21.4,43.0,35.0,12.5,5.0,24.0,15.0,2.4
