record_id,source_type,is_synthetic,citation,doi,sensor_noise_applied,validation_status,feedstock_name,feedstock_category,carbon_pct,hydrogen_pct,oxygen_pct,nitrogen_pct,sulfur_pct,ash_pct,moisture_ar_pct,volatile_matter_pct,fixed_carbon_pct,particle_size_mm,bulk_density_kg_m3,feedstock_hhv_dry_mj_kg,feedstock_lhv_ar_mj_kg,feed_rate_wet_kg_h,dryer_temp_c,dried_biomass_moisture_pct,reactor_temp_c,heating_rate_c_min,residence_time_min,biochar_yield_dry_pct,bio_oil_yield_dry_pct,syngas_yield_dry_pct,recovered_biochar_kg_h,recovered_bio_oil_kg_h,clean_syngas_kg_h,dryer_exhaust_water_kg_h,mass_balance_closure_pct,syngas_co_vol_pct,syngas_co2_vol_pct,syngas_ch4_vol_pct,syngas_h2_vol_pct,syngas_c2h6_vol_pct,syngas_mw_kg_kmol,syngas_volume_flow_nm3_h,syngas_lhv_vol_mj_nm3,bio_oil_water_pct,bio_oil_hhv_mj_kg,bio_oil_predicted_ph,bio_oil_tan_mg_koh_g,bio_oil_density_kg_m3,bio_oil_kinematic_viscosity_cst,drying_thermal_duty_kw,reactor_thermal_duty_kw,gross_thermal_demand_kw,combustor_heat_recovered_kw,thermal_self_sufficiency_index_pct,is_thermally_self_sufficient,energy_recovery_ratio_pct,net_thermal_efficiency_pct,second_law_exergy_efficiency_pct
SYN_00001,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Pine Sawdust,woody_biomass,51.5,6.3,41.6,0.2,0.05,0.35,27.866038729678944,82.5,17.15,2.0,420.0,21.095,13.544,72.25274291248024,105.0,8.0,575.73,56.21,0.11,15.73,47.6,36.67,8.031,28.129,20.201,15.602,100.0,47.34,21.72,14.68,9.62,4.55,27.11,16.77,15.17,25.59,14.34,2.22,96.4,1163.7,20.4,17.64,26.29,43.94,59.15,134.63,True,77.54,76.59,77.22
SYN_00002,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Beech Wood,woody_biomass,49.5,6.1,43.8,0.2,0.02,0.38,9.37297773328248,84.0,15.62,2.0,460.0,19.93,16.627,487.8157139958128,105.0,8.0,750.62,33.94,28.64,12.67,7.58,79.75,55.065,69.166,357.094,7.28,100.0,46.68,14.68,15.65,16.51,4.59,24.1,330.6,16.2,59.01,6.33,2.37,47.9,1090.2,5.0,30.12,326.35,356.48,1245.39,349.36,True,60.99,60.6,59.86
SYN_00003,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Olive Pomace,agricultural_residue,50.2,6.2,39.8,1.4,0.1,2.3,7.770866264335465,76.5,21.2,2.0,550.0,20.655,17.612,409.1195040246686,105.0,7.770866264335465,627.59,119.3,0.84,15.41,38.22,46.37,57.353,169.341,179.751,0.0,100.0,47.34,17.86,15.26,12.97,4.57,25.56,159.59,15.75,27.9,13.51,2.23,90.6,1158.6,16.8,0.0,215.39,215.39,584.54,271.38,True,69.27,69.19,69.05
SYN_00004,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Wheat Straw,agricultural_residue,46.5,5.9,41.2,0.7,0.1,5.6,23.840108804470255,75.0,19.4,2.0,220.0,18.806,12.76,495.2247164127556,105.0,8.0,727.12,150.43,0.47,17.1,24.95,57.95,63.504,121.946,223.709,85.265,100.0,46.75,14.95,15.61,16.21,4.58,24.22,206.93,16.16,34.74,10.81,2.27,77.3,1143.6,9.4,101.26,266.36,367.63,777.52,211.5,True,64.61,64.11,63.95
SYN_00005,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Rice Husk,agricultural_residue,39.5,5.1,36.5,0.4,0.1,18.4,25.54859768117549,63.5,18.1,2.0,340.0,15.64,10.192,478.75227599927945,105.0,8.0,483.47,130.25,33.72,39.75,39.72,20.53,141.045,164.1,79.872,91.32,100.0,43.24,34.5,11.91,3.91,4.2,30.95,58.0,12.82,27.81,10.15,2.22,98.3,1158.8,16.9,105.97,141.76,247.72,172.87,69.78,False,80.98,74.81,77.94
SYN_00006,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Sugarcane Bagasse,agricultural_residue,48.0,5.8,43.5,0.3,0.05,2.35,22.53811269953161,81.0,16.65,2.0,180.0,19.044,13.221,185.2680368381046,105.0,8.0,607.82,30.05,0.76,16.32,41.19,42.49,23.158,68.984,65.246,29.277,100.0,47.44,19.17,15.08,11.7,4.57,26.12,54.78,15.56,27.34,12.51,2.23,92.5,1159.9,17.6,35.5,78.01,113.52,198.23,174.63,True,72.73,72.1,72.79
SYN_00007,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Miscanthus,energy_crop,48.5,5.7,42.6,0.6,0.1,2.5,10.111922035065579,79.5,18.0,2.0,200.0,19.191,15.885,394.113170121081,105.0,8.0,352.4,7.54,0.22,64.65,22.93,12.43,227.627,107.28,48.114,9.047,100.0,32.08,54.9,6.76,0.98,3.09,35.58,30.56,8.54,36.2,10.8,2.22,98.1,1140.4,8.3,27.21,94.59,121.8,60.7,49.84,False,101.6,97.66,100.84
SYN_00008,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Almond Shells,nut_shells,51.0,6.0,39.5,0.5,0.05,2.95,22.419309379338845,73.5,23.55,2.0,480.0,20.725,14.516,494.83791089154596,105.0,8.0,535.36,110.08,9.97,21.3,47.9,30.8,80.993,209.273,127.336,77.557,100.0,46.42,26.25,13.8,6.89,4.47,28.64,99.32,14.39,25.52,14.13,2.22,98.6,1163.9,20.6,94.25,175.51,269.76,332.35,123.2,True,77.59,77.15,77.83
SYN_00009,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Pine Sawdust,woody_biomass,51.5,6.3,41.6,0.2,0.05,0.35,14.484889034729026,82.5,17.15,2.0,420.0,21.095,16.51,131.08286308401205,105.0,8.0,701.12,450.91,21.2,12.45,16.21,71.33,13.709,26.767,81.548,9.24,100.0,46.86,15.38,15.55,15.71,4.58,24.43,74.4,16.09,42.72,10.48,2.29,68.9,1126.0,5.0,14.71,75.12,89.83,278.44,309.97,True,63.89,63.31,62.67
SYN_00010,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Beech Wood,woody_biomass,49.5,6.1,43.8,0.2,0.02,0.38,27.084206668560075,84.0,15.62,2.0,460.0,19.93,12.9,154.53820908214792,105.0,8.0,484.81,17.48,4.82,27.7,50.37,21.92,30.502,64.288,27.223,32.057,100.0,43.28,34.42,11.93,3.93,4.2,30.93,19.83,12.83,24.95,13.63,2.21,102.2,1165.1,21.6,36.55,44.87,81.42,59.18,72.69,False,87.56,82.85,85.27
SYN_00011,SYNTHETIC_SIMULATED,True,,,True,VERIFIED,Olive Pomace,agricultural_residue,50.2,6.2,39.8,1.4,0.1,2.3,21.612368742686186,76.5,21.2,2.0,550.0,20.655,14.603,158.44612912199852,105.0,8.0,387.68,379.68,3.28,52.23,33.94,13.83,63.805,51.471,19.227,23.444,100.0,34.61,50.61,7.87,1.32,3.37,34.67,12.47,9.48,29.95,13.06,2.2,104.2,1154.1,14.1,28.92,37.23,66.15,27.49,41.56,False,97.78,91.16,93.83
